"ID","VLINDER","lat","lon","water20","verhard20","groen20","water50","verhard50","groen50","water100","verhard100","groen100","water250","verhard250","groen250","water500","verhard500","groen500","stad","benaming","school","sponsor"
"SMivapZavheUAoe0thH2d22U","vlinder11","51.222422","4.381726","0.000000","0.342063","0.657937","0.000000","0.528311","0.471689","0.000000","0.626707","0.373293","0.000000","0.561805","0.438195","0.000000","0.507397","0.492603","Antwerpen","Linkeroever","Sint-Annacollege","Stad Antwerpen"
"RyLeKizFOca8R95PJ9Ed9MPQ","vlinder12","51.216477","4.423440","0.000000","0.000000","1.000000","0.000000","0.078246","0.921754","0.001242","0.388468","0.610290","0.006234","0.684366","0.309400","0.001669","0.841218","0.157113","Antwerpen","Zoo","UGent","ZOO Antwerpen"
"ezxlxqTCtJb6ChsNwO3GwAe8","vlinder13","51.212211","4.398065","0.000000","0.541204","0.458796","0.000000","0.778980","0.221020","0.000000","0.896309","0.103691","0.000000","0.909272","0.090728","0.000000","0.868274","0.131726","Antwerpen","Inst. Trop. Geneeskunde","UGent","Stad Antwerpen"
"QDpOI8z0Avo55bojIzbom6l5","vlinder14","51.350618","4.315013","0.000000","0.039294","0.960706","0.000000","0.171068","0.828932","0.001720","0.188010","0.810270","0.000275","0.158502","0.841223","0.000155","0.163637","0.836208","Antwerpen","Zandvliet","UGent","EnerSys"
"iASUcbCWYglQzIdyQnALsTTT","vlinder15","50.935300","4.192600","0.000000","0.344992","0.655008","0.000000","0.425480","0.574520","0.000000","0.552033","0.447967","0.000815","0.268385","0.695934","0.000279","0.137784","0.512687","Asse","Koereit","Sint-Martinus","AllThingsTalk"
"DOo1XWMfhmleI0M9jlkOf1Wt","vlinder16","51.266850","4.293436","0.430843","0.511924","0.057234","0.418365","0.438996","0.142639","0.416359","0.316168","0.267473","0.469907","0.151294","0.378799","0.469292","0.146418","0.384290","Beveren","Haven","Sint-Maarten","Katoen Natie"
"eTuhBpgua9VVEqANPehNrR7g","vlinder17","51.065269","5.613458","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","Oudsbergen","Oudsberg","Sint-Augustinusinstituut Bree","Nationaal Park Hoge Kempen"
"Tw2SbKEtwIHD5OVf23zfKvfO","vlinder18","51.136244","5.656769","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.000000","0.011837","0.988163","0.000000","0.009458","0.990542","0.000053","0.028235","0.971711","Bree","Tongerlo","TISM Bree","Stad Bree"
"xgRUxj1N6DiRKzekQqI4Z5Ns","vlinder19","50.841455","4.363672","0.000000","0.002577","0.997423","0.000000","0.016051","0.983949","0.000000","0.300299","0.699701","0.000000","0.600350","0.399650","0.000000","0.742585","0.257415","Brussel","Koninklijk Paleis","UGent",""
"Ziocm4OqUjrp7W9988artyfN","vlinder20","50.847025","4.357971","0.000000","0.766839","0.233161","0.000000","0.910556","0.089444","0.000000","0.934631","0.065369","0.000000","0.944938","0.055062","0.000000","0.879892","0.120108","Brussel","Kathedraal","UGent","Vivaqua"
